S/N,WARD,PROJECT TO BE EXECUTED,LOCATION
1,UVURU WARD 1,Construction of 6-room lock up shop,Orie Uvuru Market Square
2,NGURUNWENKWO WARD,Construction of solar borehole,Oboama Nguru Primary School
3,UVURU WARD 2,Construction of 6 locker shops,Umukohie Town Hall, Ama-Asaa Autonomous Community
4,UMUHU WARD,Construction of borehole drilling and overhead tank with industrial solar panel,Along Umunaga Road, Umuhu
5,ENYIOGUGU WARD,Construction of six standard lock up shops,Afor-Enyiogugu Market Square
6,IBEKU WARD,Construction of fifteen (15) standard open shops with toilet,Eke Ibeku Market Square
7,NGURU NWEKE WARD,Construction of borehole drilling, overhead tank and renovation of civic center,Eke Nguru Abattior Market and Umuolo Umuaham Amaohuru Nguru
8,MBUTU WARD,Construction of solar water project,Orie Mbutu Market Square
9,AMUZU WARD,Construction of 6 locker shops,Eke-Oha Market, Amuzu Autonomous Community
10,LORJI WARD,Construction of 16 open shops with one toilet,Eke-Ukwu Lorji Market
11,LAGWA WARD,Construction of 16 open shops,Nkwo Lagwa Market
