S/N,WARD,PROJECT TO BE EXECUTED,LOCATION
1,AMUZI/IHENWEORIE WARD,Erection of lockup shops,Orieikpa Market
2,UMUNOMO/UMUCHIEZE WARD,Construction of open block shops (3 buildings),Umunomo/Umuchieze
3,OGBOR/UMUEZE WARD,Construction of open market,Ogbor/Umueze Ward
4,NNARAMBIA WARD,Construction of new lockup shops with solar street light,Designated market areas in Narambia
5,MPAM WARD,Construction of new lockup shops,Designated market areas in Mpam
6,OKIRIKA NWEKE WARD,Construction of new lockup shops,Designated market areas in Okrika Nweke
7,OPARANADIM WARD,Drilling of Borehole,Eke Eziama Market Square Oparanadim
8,ORU/LUDE WARD,Construction of Borehole,Afor-Oru Market Square
9,OBOHIA/EKWERAZU TOWN WARD,Construction of Lockup Shops,Nkwo-Obohia Market Square
10,OGBE WARD,Refurbishment of Boreholes and tank stand with solar street light,Ogbe Ward
11,OTULU/AGUNEZE WARD,Construction of new lockup shops,Designated market areas in Otulu/Aguneze
12,OKIRIKANWENKWO WARD,Rehabilitation of borehole water,Umuokrika Health Centre, Okrikanwankwo
