S/N,WARD,PROJECT TO BE EXECUTED,LOCATION
1,Amumara Ward 1,Proposal for Building of Lockup Shops (5),Nkwo-Otulu Aumuma Market Square
2,Itu Ward 2,Construction of a 3 Room Administrative Block,Itu Secondary School
3,Okpofe & Ezeagbogu Ward 3,Renovation of Ezeagbogu Nursing Leaving House Health Center,Ezeagbogu
4,Onicha 1 Ward 4,Proposed Project Construction of Solar Borehole,Community Primary School Umuekwene Onich Onicha Nweorie Autonomous Community
5,Onicha 2 Ward 5,Digging of New Bore-Hole,Amoji in Ubonukam Onicha
6,Onicha 3 Ward 6,Renovation Fencing and Equipping of Health Center,Umuhu Onicha Nwe-Nkwo Aut. Community
7,Onicha4 Ward 7,Completion of Perimeter Fencing & Water Reticulation with overhead Tanks,Omukwu health Center
8,Eziudo Ward 8,Building of Lockup Shops (5),In Nkwo-Eziudo Market
9,Udo Na Obizi Ward 9,Construction of six(6) restroom blocks(3 for male/3 for female use),In Ogwumabiri Market
10,Ihitte Ward 10,Installation of Solar Street Lights Across Eleven (11) Villages in Ihitte Ward 10,Ihitte Ward 10 in Ezinihitte Mbaise L.G.A
11,Oboama/Umunama Ward 11,Fencing/Renovation of Oboama Health Center,Oboama Motor Park Ezinihitte Mbaise L.G.A
12,Ife/Chokoneze/Akpodim Ward 12,Building of 5 lockup shops,Ogummabiri Ife
