S/N,WARD,PROJECT TO BE EXECUTED,LOCATION
1,Ogboko Ward 1,Installation of Solar Powered Borehole Dual & Generator,Ogboko Ward 1
2,Umuakam/Umuago Ward,Renovation of Nkwo Market and Construction of public toilet facility,Nkwo Market
3,Umumobom Ward,Construction of Open shades at Orie Umuobom & Renovation of the market,Orie Umuobom Market
4,Obiohia Ward,Installation of Electrical Poles and Electric wires in three villages that have not experienced electricity before,Three villages in Obiohia Ward
5,Obiohia Ward,Installation of solar street light round the community,Obiohia Ward community
6,Obiohia Ward,Building of modern market,Obiohia Ward
7,Isiekeniesie Ward 2,Renovation of Nkwo Market,Nkwo Market
8,Isiekeniesie Ward 2,Construction of public toilet facility,Isiekeniesie Ward 2
9,Umuchima Ward,Construction of four room lock up shops with packing store at Nkwo Umuchima,Nkwo Umuchima
10,Ntueke Ward,Renovation/Construction of lock up shops at Ntueke market,Ntueke market
11,Ogboko Ward 2,Solar Powered Borehole powered by Generator,Ogboko Ward 2
12,Isiekeniesie Ward 1,Construction of culverts on the roads/streets of Isiekenesi Ward 1,Isiekenesi Ward 1
13,Umuma Isiaku Ward,Renovation of Umuegbu Nkwo Market,Umuegbu Nkwo Market
14,Ugelle Ward,Renovation of 12 classroom block at the Comprehensive Secondary School Ugbelle,Comprehensive Secondary School Ugbelle
15,Dikenafai Ward,Construction of one gigantic stall at Orie Ukwu Dikenafai with a paved surrounding,Orie Ukwu Dikenafai
16,Amanato/Umueshi Ward,Construction of six (6) modern lock up shops at Umueshi Community Market Amanato/Umueshi Ward,Umueshi Community Market
