S/N,WARD,PROJECT TO BE EXECUTED,LOCATION
1,ABUEKE WARD,Renovation of sections of Abueke Healthcare centre,Abueke
2,AMAINYI WARD,Installation of solar streetlights across all parts of Amainyi ward,Amainyi
3,AMAKOHIA WARD,Construction/Building of market at Nkwo Ihitte market square,Amakohia
4,ATONERIM WARD,Renovation of Eke Elungwu market at Atonerim ward,Atonerim
5,AWUCHINUMO WARD,Renovation of a 3-classroom block with office at community primary school, Umuawuchi, including: Reroofing, Plastering, Painting,Community Primary School, Umuawuchi
6,DIMNEZE WARD,Renovation and roofing of Ezimba health centre,Ezimba
7,OKATA WARD,Fencing of Okata health Centre,Okata
8,IKPEREJERE WARD,Construction/Building of new 2 bedroom self-contained quarters for healthcare sisters at Umuoma autonomous community,Umuoma
9,UMUEZEGWU WARD,Renovation/Reconstruction of Eke Umuezegwu Market,Umuezegwu
10,UMUIHI WARD,Rehabilitation, reticulation, and installation of solar powered Borehole located at Afor Umuihi,Umuihi
