S/N,WARD,PROJECT TO BE EXECUTED,LOCATION
1,Iho Ward,Construction of 6 Units of Lockup Shops at Eke Iho Market,Eke Iho Market
2,Amaimo Ward,Construction of 6 Units of Lockup Shops at Nkwoimo Market Amaimo,Nkwoimo Market Amaimo
3,Atta Ward 2,Construction of 24 Units of Open Shops at Eke Atta Market,Eke Atta Market
4,Amakohia Ward,Installation of Solar-Powered Borehole Scheme at Amakohia and 20 Pieces of Solar Street Lights,Amakohia
5,Agba Ward,Completion of Window Fittings at Ebikoro Women Civic Centre with Perimeter Fence at Nkwo Aboh,Ebikoro Women Civic Centre with Perimeter Fence at Nkwo Aboh
6,Inyishi/Umudim Ward,Construction of 6 Units of Lockup Shops at Eke Inyishi Market,Eke Inyishi Market
7,Atta Ward 1,Construction of 24 Units of Open Shops at Eke Atta Market,Eke Atta Market
8,Akabo Ward,Construction of a 4-Room Security Post at Akabo,Akabo
9,Okwu/Ugirike/Eziama Ward,Construction of 24 Units of open shops at Nkwo Ugiri-ike Market,Nkwo Ugiri-ike Market
10,Avuvu Ward,Installation of Solar powered Water Scheme at Avuvu Ward and 20 Pieces of Solar Street Lights,Avuvu Ward
11,Ngugo/Ikembara Ward,Renovation of Ikembara Health Centre,Ikembara Health Centre
12,Amatta Ward,Construction of a 4-Room Administrative Secretariat for Amatta Town Union,Amatta Town Union
