S/N,WARD,PROJECT TO BE EXECUTED,LOCATION
1,UMUELEMAI,Construction of open Market Stalls at Nkwo Umunkwo Market Square,Umuelemai
2,USU-OWEERE WARD 2,Construction of open Market Stalls at Orie Ezihe Market Square,Usu-Oweere Ward 2
3,OSUOWERRE WARD 1,Presentation of Constituency projects for Ouowerre ward 1,Osouwerre Ward 1
4,OBOLLO WARD,Construction of Open market at Nkwo Obollo Market Square,Obollo Ward
5,OGBOR WARD,Construction of Lock up shop(s) at Eke Ogbor Market,Ogbor Ward
6,OSUAMA/ANARA WARD,Construction of a Community Borehole at Osuama-Anara Ward,Osuama/Anara Ward
7,IBEME WARD,Opening a solar powered Borehole at Orie Umuonyeogu Market and Afor Ibeme market,Ibeme Ward
8,UGIRI OKA WARD,Construction of Open market stalls at Eke umuneke Market,Ugiri Oka Ward
9,AMARAKU WARD,Solar Powered Borehole with Solar Powered Sumo,Amaraku Ward
10,UMUOZU WARD,Construction of open Market Phase 1 at Umuozo Autonomous Community,Umuozu Ward
11,OSUACHARA WARD,Construction of an Open Market,Osuachara Ward
12,AMAUZARI WARD,Provision of Solar powered Borehole water,Amauzari Ward
