S/N,WARD,PROJECT TO BE EXECUTED,LOCATION
1,Njaba 2,1 No Bore Hole,Njaba 2
2,Umundugba 2,Renovation of a four classroom block and head teachers office,Town School Nnerim Ndubga
3,Amurie Omanze 1,Borehole,Orie Amurie Market
4,Ekwe 1,Rehabilitation of five (5) classroom block,Central School Ekwe
5,Amurie 2,Drilling of Public solar powered borehole with two overhead tanks,Amaeze Amurie
6,Amandugba 1,Drilling of Borehole,Amandugba 1
7,Isunjaba 3,5 rooms lockup shop,Isunjaba 3
8,Amandugba 2,Drilling of Borehole,Amandugba 2
9,Umundugba 1,Installation of Solar light,Umundugba 1
10,Ekwe 2,Re-roofing of Uburuekwe primary health Center,Ekwe 2
11,Isunjaba 1,Installation of Solar light,Isunjaba 1
