S/N,WARD,PROJECT TO BE EXECUTED,LOCATION
1,AFARA/EZIAMA WARD,Water borehole,Afara/Eziama Ward
2,AMAIKE WARD,Water borehole,Amaike Ward
3,EZINIHITTE WARD,Water borehole,Ezinhitte Ward
4,IFAKALA WARD,Building of open shops,Ifakala Market Square
5,OGBAKU WARD,Water borehole,Ogbagu Ward
6,OGWA WARD 1,Drilling of borehole and tank stand,Ogwa Ward 1
7,OGWA WARD II,Water borehole,Ogwa Ward II
8,ORODO WARD A,Drilling of borehole and tank stand,Orodo Ward A
9,ORODO WARD B,Drilling and installation of village borehole,Umudurunwa Village, Ubaha Autonomous Community
10,UBOMIRI WARD,Drilling of borehole and tank stand,Ubomiri Ward
11,UMUNWOHA/UMUAGWU WARD,Renovation of open shops and construction of modern toilet facilities,Nkwo-Ohohia Market Square
12,UMUNOHA/AZARA WARD,Construction of modern public convenience and rehabilitation of existing water project,Orieamaigne Market
