S/N,WARD,PROJECT TO BE EXECUTED,LOCATION
1,AMALA/ALULU/OBURU/OBOKWE/NTU,Rehabilitation of Orie Orji Ntu Market,Ntu Autonomous Community, Ngor-Okpala
2,ELELEM/OBIKE WARD 2,Construction of Twenty Four (24) Open shops with six (6) toilets at Orie Umueme Obike Central Market,Umueme Obike, along Umueme/Obioma/Etche Road
3,OZUZU WARD 3,Construction of Sixteen (16) open shops with toilets at Community Market,Nkwo Eze Central Market, Orishaeze Ozuzu Autonomous Community
4,EZIAMA/OKPALA WARD 4,Construction of Solar Powered Borehole at Eke Umugo Market Square,Umuchulu Community
5,IMERIENWE/UPE WARD 5,Construction of Solar Borehole (4% 12 Bar) of 60 meters at Umunakara Imerienwe for the first phase,Umunakara Imerienwe
6,NGURU/UMUOWA WARD 6,Installation of Standard Solar System Borehole Water at Orie-Nguru Market Square,Nguru Umuaro
7,WARD 7,Drilling of Borehole and Tank Stand in Ngor, Ihitte and Umukabia,Ngor, Ihitte and Umukabia
8,OHEKELEM/NNORIE WARD 8,Building of Open Shops with Toilets at Eke Odah Central Market,Ohekelem Community
9,UMUHU WARD 9,Rehabilitation of Market,Umuhu Community
10,UMUHU WARD 9,Installation of Transformer in the market,Umuhu Community
11,OBIANGWU WARD 10,Construction of Solar Borehole (4½ 12 bar) of 60 meters,Eke Isu Obiangwu Market
12,UMUOHIAGU/LOGARA WARD,Solar Powered Borehole,Umuohiagu/Logara Ward
