S/N,WARD,PROJECT TO BE EXECUTED,LOCATION
1,Amucha Ward 1,300KVA BY 33,Amucha Ward 1
2,Amucha Ward 2,1 Solar Powered Borehole,Amucha Ward 2
3,Atta Ward 1,1 Solar Powered Borehole,Atta Ward 1
4,Atta Ward 2,Solar Street Lights,Atta Ward 2
5,Atta Ward 3,1 Solar Powered Borehole,Atta Ward 3
6,Okwudor Ward,Solar Powered Borehole and Solar Street Lights,Okwudor Ward
7,Nkume Ward,Solar Street Lights,Nkume Ward
8,Umuaka Ward 1,Solar Powered Borehole at Achara,Achara
9,Umuaka Ward 3,Renovation of Amakor Health Centre,Amakor Health Centre
10,Umaka Ward 2,Palm Oil Processing Plant,Umaka Ward 2
11,Umuaka Ward 4,Solar Powered Borehole and Solar Street Lights,Umuaka Ward 4
