S/N,WARD,PROJECT TO BE EXECUTED,LOCATION
1,OGUTA WARD B,Building of modern toilets with borehole facilities powered by solar system,Oguta Main Market
2,MGBALLA/UBA WARD,Renovation of dilapidated school building (2 classrooms with 2 stores),Mgbala United Town School, Mgbala Agwa
3,OSSE-MOTOR WARD,Building of lockup stores,Orie Market Osse-Motor
4,OGUTA WARD A,Building of solar powered borehole and water closet system (Rest room facilities),New Market Oguta
5,EGWE-EGBUOMA WARD,Rehabilitation of Borehole,Nkwo Egbu
6,AWA WARD,Supply of hospital beds to five health facilities,Five health facilities in Awa ward
7,OBUDI/ARO WARD,Construction of Industrial Boreholes,Obudi/Aro Ward
8,OBUDI/ARO WARD,Building of Civic Center,Obudi/Aro Ward
9,NDIULOUKWU UMUOWERE WARD,Project details to be determined,To be specified
10,UWAORIE WARD,Construction of Ogbogie openable market shops,Ogbogie Market
11,ORU WARD,Installation of Solar Boreholes at Health Centre,Health Centre, Oru Ward
12,IZOMBE WARD,Building of lock-up shops,Ogba-Afor Izombe
