S/N,WARD,PROJECT TO BE EXECUTED,LOCATION
1,OBITTI/MGBUISII WARD,Two dwarf marketshops at Mgbuisii market,Mgbuisii Market
2,OBITTI/MGBUISII WARD,Public toilet at Obitti market,Obitti Market
3,EGBEMA WARD A,Construction & Installation of mono-pumps (man power pumps) in our communities,Egbema Ward A
4,EGBEMA WARD B,Construction of Umurji road convert,Umurji
5,EGBEMA WARD B,Renovation of Obiakpu school,Obiakpu
6,EGBEMA WARD C,Renovation of existing health centres,Egbema Ward C
7,EGBEMA WARD C,Social welfare enhancement programs,Egbema Ward C
8,EGBEMA WARD D,Renovation of the dilapidated market stall in Opuoma including the market motor park and provision of a central waste point,Opuoma Market
9,EGBEMA WARD E,Construction of a modern four (4) block lockup shops,Egbema Ward E
10,EGBEMA WARD E,Construction of water Borehole and reticulation,Egbema Ward E
11,AWARRA/IKWEREDE WARD,Creating modern markets with necessary amenities to support local business and traders with 10 Units Open Market at Old Market,Awarra/Ikwerede
12,ASSA/OBILE WARD,Laboratory building at government college,Assa/Oble
13,EKWUATO WARD,Provision of Borehole water supply at community centre school,Community Centre School, Ekwuato
14,EKWUATO WARD,Provision of Borehole water supply at Nkwo Mgbirichi Market,Nkwo Mgbirichi Market
15,OHOBA WARD,Provision of clean drinkable water in schools, market, and health facilities,Ohoba Ward
16,UMUAGWO WARD,Mono pumps across Umuagwo ward: Umuagwo community, Umukene community, Etioha community & Okohia community,Umuagwo Ward
17,UMUAGWO WARD,Toilet in Umuagwo market,Umuagwo Market
18,UMUAGWO WARD,Solar Lights in our health centres (Umuagwo & Etioha),Umuagwo & Etioha Health Centres
19,UMUAPU WARD,Mono pumps across Umuapu ward,Umuapu Ward
