S/N,WARD,PROJECT TO BE EXECUTED,LOCATION
1,EZIAMA WARD 1,SOLAR POWERED BOREHOLE,Eziama Ward 1
2,OWERRE OKWE WARD 2,SOLAR POWERED STREET LIGHTS,Owerre Okwe Ward 2
3,UMUCHEKE OKWE WARD 3,SOLAR ENERGY POWERED BOREHOLE,Umucheke Okwe Ward 3
4,EZELU WARD 4,HIGH SOLAR POWERED STREET LIGHTS,Ezelu Ward 4
5,OFAHIA WARD 5,HIGH SOLAR POWERED STREET LIGHTS,Ofahia Ward 5
6,ABOH/OKOHIA WARD 6,SOLAR POWERED BOREHOLE,Aboh/Okohia Ward 6
7,OZIMO/UMUANUMEZE WARD 7,SOLAR POWERED STREET LIGHTS,Ozimo/Umuakumeze Ward 7
8,UMUNA WARD 8,SOLAR POWERED STREET LIGHTS,Umuna Ward 8
9,OKWELLE I WARD 9,SOLAR POWERED BOREHOLE,Okwelle I Ward 9
10,OKWELLE II WARD 10,SOLAR POWERED BOREHOLE,Okwelle II Ward 10
