S/N,WARD,PROJECT TO BE EXECUTED,LOCATION
1,ORLU/MGBEE Ward,Tarring of Orlu Girls Road,Orlu
2,OGBERURU WARD,Borehole,Ogberuru
3,OWERRE-EBEIRI WARD,Construction of Five (5) Lockup Shops at Orie Nwowerre Market,Owelle-Ebeiri
4,AMAIFEKE WARD,Installation of a Solar Powered Borehole at Afor Ogidi Market,Amaiheukwu
5,IHITEOWRRI WARD,Construction of Twenty (20) Openable Shops,Ihiteowerre
6,EZIACHI/AMIKE WARD,Construction of Culvert,Eziachi/Amike
7,UMUDIOKA WARD,Installation of Solar Street lights,Umudioka
8,UMUZIKE/UMUOWA WARD,Building of open shops at Eke Umuowa Market,Umuike/Umuowa
9,OHAEKE OKPORO WARD,Installation of a Solar Powered Borehole,Ohaeke Okporo
10,OHAFOR OKPORO/UMUTANZE WARD,Construction of Four (4) rooms ultra modern public toilets facility at Orie Okporo Market,Ohafo Okporo/Umutanze
11,OKWUABALA IHIOMA WARD,Construction of Five (5) Lockup Shops,Okwuabala Ihioma
12,UMUNA WARD,Renovation of central school 1 Umuna,Umuna
13,UMUNA WARD,Tarring of Orlu Girls Road to Amaezie,Umuna
14,EBENESE/UMUEZENACHI WARD,Installation of Solar powered borehole,Ebenese/Umuezenachi
