S/N,WARD,PROJECT TO BE EXECUTED,LOCATION
1,AMARURU WARD,Installation of Solar Street Light,From Nkwodi Market Road to Ihungwu bordering Lilu town
2,EZIAWA WARD,Construction of Open Shade,Eziawa
3,ASSAH-UBIRIELEM WARD,Erosion Control at exit to Anambra State,Main exit to Anambra State
4,IHITENANSA WARD,Roofing and Re-equipping of Health Centre,Ihitenansa Health Centre, Umudim
5,IHITENANSA WARD,Construction of Culvert and 20 Open Shops,Afor Nwa Iro Market, Ama-Na-Ogu
6,ORSU-IHITEUKWA WARD,Installation of Solar Street Light,Ekeututu International Market Road and environs
7,OKWUETITI WARD,Construction of Solar Powered 7 Rooms Toilet/Bathroom Facilities,Ekeubahaeze Market, Awo-Idemili
8,OKWUAMARAIHE WARD 2,Installation of Solar Lights,To be determined
9,OKWUAMARAIHE WARD 1,Installation of Solar Lights,To be determined
10,OKWUFURUAKU WARD,Renovation of Maternity Health Center,Okwufuruaku Ward
11,EBENATOR WARD,Renovation of Health Centre,Okwuruokwu Amannachi
12,UMUHU-OKABIA WARD,Installation of Solar Street Lights,Umuhu-Okabia Rural Area
