S/N,WARD,PROJECT TO BE EXECUTED,LOCATION
1,OMUMA WARD,Installation of Solar/Electricity Powered Borehole,Omuma Ward
2,AKATTA WARD,Installation of Solar/Electricity Powered Borehole,Akatta Ward
3,AMIRI WARD II,Installation of Solar/Electricity Powered Borehole,Amiri Ward II
4,AWO-OMAMMA WARD II,Reconstruction of Orie Ubachima Market,Orie Ubachima
5,AWO-OMAMMA WARD I,Installation of Solar/Electricity Powered Borehole,Awo-Omamma Ward I
6,AMAGU WARD,Replacement and Installation of Two Transformers,Amagu Ward
7,AMIRI WARD I,Drilling of Solar Energy Powered Borehole,Onu-Orie Umudioka Amiri Isu Amiri ward 2
8,AWO-OMAMMA WARD IV,Drilling of Solar Energy Powered Borehole,Amaukwu Umueme Awo-omamma Ward 4
9,AWO-OMAMMA WARD III,Construction of Solar Powered Borehole,Awo-Omamma Ward 3
10,AMAKAOHIA WARD,Installation of Solar Powered Borehole,Amakaohia Ward
