S/N,WARD,PROJECT TO BE EXECUTED,LOCATION
1,AMAOFUO WARD,Perimetre fencing of community primary school Amaofuo with iron gate on the both sides of the school,Community Primary School Amaofuo
2,OZARA WARD,Fencing with gate of Ozara health centre with solar lights inside the premises,Ozara Health Centre
3,OHAKPU WARD,Perimetre fencing of community primary school Ohakpu,Community Primary School Ohakpu
4,MGBIDI WARD 2,Fencing of Eziali primary school and two (2) iron gates,Eziali Primary School
5,IBIASOEGBE WARD,Renovation of the examination hall in comprehensive secondary school Ibiasoegbe,Comprehensive Secondary School Ibiasoegbe
6,AJI WARD,Re-Building of Eke Aji market dilapidated building,Eke Aji Market
7,MGBIDI WARD 1,Drilling of a new Solar powered Borehole,Mgbidi Ward 1
8,OTULU WARD,Borehole at Orie Otulu market axis,Orie Otulu Market
9,OTULU WARD,Standard toilet facility at Orie Otulu market,Orie Otulu Market
10,NEMPI/ELEH WARD,Fencing of western Nempi primary school with iron gate,Western Nempi Primary School
11,UBULU WARD,Completion of Nkwi Ogige health centre, Nkwo Ogige market Axis,Nkwo Ogige Market, Ubulu
