WARD,PROJECT
IKENEGBU 1,Construction of Public Toilets/ Borehole
IKENEGBU 2,Public Toilet with Borehole and barricade
AZUZI 1,Drilling of Solar Borehole with Barricade
AZUZI 2,Drainage desilting and barricade
AZUZI 3,Construction of Solar Borehole and Barricade
AZUZI 4,Fabrication and installation of barricade
ALADINMA 1,Installation of Borehole
ALADINMA 2,Solar Borehole and renovation of Security Post
NEW OWERRI 1,Solar Borehole and Public Toilet
NEW OWERRI 2,Public Toilet with Borehole.
GRA,Installation of Borehole
