S/N,WARD,PROJECT TO BE EXECUTED,LOCATION
1,NDEGWU CENTER WARD 9,Construction of a block of toilet (4 rooms) with water borehole,NDEGU CENTER
2,IHIAGWA WARD 6,Construction of toilet block (4 rooms) with parking room, septic tank, generating set, borehole and water tank,Nkwo-Ukwu Market Ihiagwa
3,EZIOBODO/EZIOKELE WARD 5,Construction of modern toilet facility,Central Primary School Eziobodo/Eziokele
4,OKOLOCHI/EMEABIAM WARD 4,Renovation/Fencing of community health center with public borehole water,Okolochi Autonomous Community
5,OKUKU WARD 3,Electrification of Health Centre with solar light (7 panels),Okuku Health Centre
6,UMUGUMA WARD 2,Construction of Lock-up Shops,Market Square Umuguma
7,AVU/OFOROLA WARD 1,Construction of Solar-Powered Borehole,Ama-ekwe Obokwu Avu
8,IRETE/OROGWE WARD 10,Construction of four blocks toilets with borehole water,Ukwuezi Primary School Orogwe
9,OBINZE WARD 8,4 room toilet building with soakaway pit and water borehole,Obize
10,NEKEDE WARD 7,Construction of solar powered borehole with four room block water system toilet,Umualum Nekede
